record_id,time_slot,house,date,day,month,time,subject_id,age,response,dynamic_house_size,static_house_size,wealth,rain
1,1,19,9/7/04,Tuesday,9,5:39,33,67,z,5,5,6300,307
2,2,3,9/7/04,Tuesday,9,6:09,35,44,z,10,10,40850,307
3,3,24,9/7/04,Tuesday,9,6:39,30,16,z,9,10,2975,307
4,4,22,9/7/04,Tuesday,9,7:09,39,57,agriculture,2,8,12475,307
5,5,23,9/7/04,Tuesday,9,7:39,17,40,domestic,5,6,4050,307
6,6,6,9/7/04,Tuesday,9,8:09,45,27,z,7,7,800,307
7,9,7,9/7/04,Tuesday,9,9:38,31,62,agriculture,2,3,7175,307
8,11,11,9/7/04,Tuesday,9,10:39,28,44,fishing,8,9,7350,307
9,12,29,9/7/04,Tuesday,9,11:09,22,14,domestic,3,3,56200,307
10,12,29,9/7/04,Tuesday,9,11:09,20,43,steady_job,3,3,56200,307
11,14,16,9/7/04,Tuesday,9,12:09,11,29,gold,6,7,2100,307
12,15,5,9/7/04,Tuesday,9,12:39,1,27,gold,8,8,3175,307
13,15,5,9/7/04,Tuesday,9,12:39,4,15,z,8,8,3175,307
14,17,10,9/7/04,Tuesday,9,13:39,26,46,fishing,9,9,7975,307
15,18,30,9/7/04,Tuesday,9,14:09,38,28,steady_job,4,5,4800,307
16,19,13,9/7/04,Tuesday,9,14:39,10,14,fishing,12,6,3300,307
17,20,1,9/7/04,Tuesday,9,15:09,16,29,agriculture,9,13,6050,307
18,20,1,9/7/04,Tuesday,9,15:09,7,15,z,9,13,6050,307
19,20,1,9/7/04,Tuesday,9,15:09,19,13,school,9,13,6050,307
20,21,18,9/7/04,Tuesday,9,15:39,44,16,school,9,9,1300,307
21,22,9,9/7/04,Tuesday,9,16:09,14,16,agriculture,10,10,4975,307
22,22,9,9/7/04,Tuesday,9,16:09,23,43,z,10,10,4975,307
23,22,9,9/7/04,Tuesday,9,16:09,9,14,school,10,10,4975,307
24,24,4,9/7/04,Tuesday,9,17:09,6,30,z,9,11,7275,307
25,1,10,9/8/04,Wednesday,9,5:53,26,46,domestic,9,9,7975,307
26,2,19,9/8/04,Wednesday,9,6:23,33,67,z,5,5,6300,307
27,3,18,9/8/04,Wednesday,9,6:53,44,16,z,9,9,1300,307
28,4,16,9/8/04,Wednesday,9,7:23,11,29,manufacture,6,7,2100,307
29,8,7,9/8/04,Wednesday,9,9:23,31,62,manufacture,2,3,7175,307
30,9,13,9/8/04,Wednesday,9,9:53,10,14,firewood,12,6,3300,307
31,11,29,9/8/04,Wednesday,9,10:53,22,14,firewood,3,3,56200,307
32,11,29,9/8/04,Wednesday,9,10:53,20,43,manufacture,3,3,56200,307
33,14,4,9/8/04,Wednesday,9,12:23,6,30,agriculture,9,11,7275,307
