choice,Tide,Wisk,EraPlus,Surf,Solo,All
Wisk,0.060625000,0.0548625200,0.05867188,0.038906250,0.05562500,0.03890625
All,0.058408200,0.0450000000,0.06453125,0.063016830,0.06453125,0.03890625
Wisk,0.058671880,0.0467187500,0.06453125,0.064531250,0.05867188,0.03890625
EraPlus,0.055338540,0.0488281300,0.04734375,0.056640630,0.06445313,0.04054344
Surf,0.059609380,0.0498437500,0.06182292,0.042031250,0.06546875,0.04125000
Wisk,0.070156250,0.0231250000,0.07015625,0.054531250,0.06234375,0.04359375
Tide,0.048046880,0.0636718800,0.05585938,0.052838540,0.06367188,0.04054344
Solo,0.051570800,0.0455468800,0.06062500,0.048906250,0.04921875,0.03515625
Solo,0.065468750,0.0482812500,0.05671875,0.046718750,0.05453125,0.04359375
Wisk,0.063682920,0.0263281300,0.07771987,0.069273900,0.05695313,0.04101832
EraPlus,0.064531250,0.0533854200,0.04884868,0.056718750,0.06453125,0.03890625
Solo,0.065468750,0.0467187500,0.06546875,0.057187500,0.04203125,0.03890625
Wisk,0.067187500,0.0515625000,0.06718750,0.058437500,0.06716375,0.04073406
EraPlus,0.055677080,0.0467187500,0.04562500,0.048906250,0.06546875,0.03890625
EraPlus,0.059218750,0.0498437500,0.04809926,0.057656250,0.06546875,0.03890625
Tide,0.041953130,0.0435988500,0.06546875,0.048906250,0.06546875,0.03890625
Wisk,0.055312500,0.0365625000,0.05901042,0.048281250,0.06312500,0.03846234
Tide,0.057048610,0.0396997900,0.06079861,0.048854170,0.03989583,0.03720531
EraPlus,0.064062500,0.0565625000,0.05429688,0.052876560,0.06796875,0.03281250
EraPlus,0.058964840,0.0502937500,0.04648438,0.053744530,0.06718750,0.04054344
EraPlus,0.064843750,0.0496875000,0.04921875,0.049921880,0.06484375,0.04054344
Tide,0.057395830,0.0396997900,0.06625000,0.065833330,0.06625000,0.03208333
Tide,0.054618060,0.0396997900,0.06625000,0.056226250,0.05270833,0.03468750
Tide,0.058263890,0.0396997900,0.06625000,0.056226250,0.04666667,0.03250000
Tide,0.054791670,0.0396997900,0.06277778,0.065833330,0.05187500,0.03250000
Solo,0.069427080,0.0528125000,0.05398438,0.053385420,0.05148438,0.03593750
Tide,0.065312500,0.0512500000,0.06531250,0.065312500,0.06716375,0.04073406
Tide,0.065312500,0.0575000000,0.06531250,0.057500000,0.06716375,0.04073406
Tide,0.064531250,0.0489062500,0.06453125,0.064531250,0.06453125,0.03890625
Tide,0.058671880,0.0556250000,0.06453125,0.055625000,0.05867188,0.03890625
Tide,0.055826220,0.0504687500,0.06500000,0.046718750,0.06546875,0.03890625
Tide,0.067187500,0.0515625000,0.06718750,0.067187500,0.06716375,0.04073406
Tide,0.057656250,0.0498437500,0.06297286,0.057656250,0.06000000,0.03890625
Solo,0.062656250,0.0467187500,0.06046875,0.065781250,0.06656250,0.03281250
Solo,0.065312500,0.0590625000,0.06531250,0.065312500,0.04343750,0.04073406
Solo,0.064270830,0.0396997900,0.04572917,0.056226250,0.03895833,0.03720531
Solo,0.064062500,0.0415625000,0.04410768,0.048437500,0.03747396,0.03468750
Solo,0.064531250,0.0450000000,0.06453125,0.056718750,0.05359375,0.03890625
Surf,0.059375000,0.0500000000,0.06562500,0.026562500,0.06562500,0.04073406
Surf,0.066942930,0.0514182700,0.06085938,0.027901790,0.06716375,0.04073406
Surf,0.065625000,0.0562500000,0.06562500,0.026562500,0.06562500,0.04073406
Surf,0.064531250,0.0496234400,0.06453125,0.056440220,0.05867188,0.03515625
Surf,0.057118060,0.0396997900,0.05885417,0.046354170,0.03947917,0.03750000
Tide,0.058203130,0.0396997900,0.05935198,0.056226250,0.05382750,0.03843750
Tide,0.053819440,0.0396997900,0.06059028,0.064062500,0.05885417,0.03843750
Tide,0.058854170,0.0396997900,0.06406250,0.064062500,0.05382750,0.03843750
Surf,0.053125000,0.0531250000,0.06562500,0.028125000,0.06562500,0.04073406
Wisk,0.058671880,0.0547656300,0.06062500,0.064531250,0.06453125,0.03890625
Wisk,0.064062500,0.0311458300,0.05935198,0.064062500,0.05382750,0.03720531
Wisk,0.058671880,0.0333068200,0.06453125,0.048906250,0.05867188,0.03890625
Wisk,0.059322920,0.0421875000,0.06453125,0.056718750,0.05867188,0.03515625
Wisk,0.069793600,0.0414312000,0.08372070,0.065312500,0.06960938,0.03968229
Wisk,0.067055430,0.0338765500,0.05843477,0.048152170,0.03332031,0.03896307
Wisk,0.063671880,0.0471548000,0.05958053,0.063671880,0.05172215,0.04054344
Wisk,0.056718750,0.0518750000,0.06453125,0.047076700,0.06453125,0.03515625
Wisk,0.046718750,0.0482812500,0.06125000,0.046555820,0.06000000,0.03890625
EraPlus,0.060546880,0.0556250000,0.05664063,0.048828130,0.06445313,0.04054344
Wisk,0.052812500,0.0388281300,0.06484375,0.049921880,0.05078125,0.04054344
Wisk,0.065468750,0.0381250000,0.06182292,0.056093750,0.06546875,0.04359375
Wisk,0.065468750,0.0467187500,0.06546875,0.054010420,0.05601563,0.04359375
Wisk,0.053125000,0.0496875000,0.04921875,0.065546880,0.05078125,0.03539063
Tide,0.065312500,0.0653125000,0.06062500,0.057500000,0.06716375,0.04073406
Wisk,0.067187500,0.0376442300,0.05593750,0.051419270,0.06716375,0.04073406
Tide,0.035937500,0.0515625000,0.06718750,0.067187500,0.06716375,0.04073406
Tide,0.045312500,0.0671875000,0.06718750,0.055156250,0.06716375,0.04073406
Tide,0.035937500,0.0590625000,0.06718750,0.058750000,0.06716375,0.04073406
Tide,0.035937500,0.0671875000,0.06718750,0.067187500,0.06716375,0.04073406
Tide,0.040312500,0.0715625000,0.07156250,0.063125000,0.06716375,0.04073406
EraPlus,0.063046880,0.0552343800,0.05820313,0.053744530,0.05390625,0.04054344
EraPlus,0.064828130,0.0708984400,0.05911632,0.053744530,0.06343750,0.04054344
EraPlus,0.066299720,0.0405468800,0.05934679,0.065286460,0.06583984,0.04054344
Wisk,0.060020560,0.0558593800,0.05939704,0.063671880,0.05781250,0.04054344
Wisk,0.058671880,0.0645312500,0.05867188,0.038906250,0.05929969,0.03890625
Wisk,0.064062500,0.0296354200,0.05935198,0.064062500,0.05382750,0.03720531
Wisk,0.059765630,0.0558593800,0.06367188,0.063671880,0.06367188,0.04054344
Wisk,0.056835940,0.0400781300,0.06367188,0.063671880,0.06367188,0.04054344
Wisk,0.056835940,0.0467968800,0.06367188,0.055859380,0.05460938,0.04054344
Wisk,0.063541670,0.0444222900,0.07249023,0.063671880,0.05460938,0.04054344
Wisk,0.065468750,0.0365625000,0.06546875,0.049843750,0.06546875,0.03890625
Wisk,0.056640630,0.0506212800,0.05859375,0.046640630,0.05273438,0.04054344
Tide,0.052968750,0.0576562500,0.06156250,0.049843750,0.06000000,0.03890625
Wisk,0.055687650,0.0388281300,0.06445313,0.064453130,0.06445313,0.04054344
EraPlus,0.057617190,0.0488281300,0.04855469,0.048828130,0.06445313,0.04054344
Tide,0.046953130,0.0502937500,0.04679688,0.044218750,0.04679688,0.04054344
Wisk,0.051406250,0.0342187500,0.06304688,0.057656250,0.06546875,0.03890625
Wisk,0.051406250,0.0373437500,0.06546875,0.049843750,0.06546875,0.03890625
Wisk,0.060546880,0.0505468800,0.06445313,0.048828130,0.06445313,0.04054344
Wisk,0.065468750,0.0406250000,0.06546875,0.056093750,0.06546875,0.04359375
Wisk,0.065468750,0.0467187500,0.06546875,0.054010420,0.05601563,0.04359375
Tide,0.052348540,0.0396997900,0.05625000,0.048437500,0.06406250,0.03843750
Solo,0.063593750,0.0482812500,0.06359375,0.048281250,0.04757813,0.03734375
Surf,0.058854170,0.0396997900,0.06406250,0.058854170,0.04979167,0.04000000
Wisk,0.050937500,0.0389843800,0.06367188,0.063671880,0.05195313,0.04054344
Surf,0.033125000,0.0480468800,0.05908891,0.038984380,0.05771672,0.04054344
Wisk,0.058671880,0.0257164900,0.06453125,0.048906250,0.05867188,0.03890625
Wisk,0.063072790,0.0412888000,0.07053819,0.067848010,0.05695313,0.04015625
Tide,0.052748840,0.0396997900,0.05625000,0.048437500,0.05382750,0.03843750
Tide,0.058203130,0.0460156300,0.06171875,0.050156250,0.05976563,0.03718750
