y,black,female,age,state,age_edu,region_full,edu,v_prev_full
1,0,1,2,7,6,1,2,0.564
1,0,0,3,33,12,1,4,0.511
0,0,1,1,20,2,1,2,0.5446666
1,0,1,2,31,7,1,3,0.5633333
1,0,1,1,18,3,3,3,0.5243334
1,0,0,2,31,8,1,4,0.5633333
1,0,0,3,40,9,1,1,0.467
1,0,1,2,33,8,1,4,0.511
0,0,1,2,22,8,1,4,0.478
1,0,0,3,22,12,1,4,0.478
1,0,1,1,33,4,1,4,0.511
1,0,1,1,22,4,1,4,0.478
1,0,1,3,39,10,1,2,0.5213333
1,0,0,3,33,10,1,2,0.511
0,0,1,2,31,8,1,4,0.5633333
1,0,0,3,33,10,1,2,0.511
0,0,1,3,10,11,3,3,0.5696666
0,1,1,2,33,7,1,3,0.511
1,0,1,2,40,8,1,4,0.467
0,0,0,2,33,7,1,3,0.511
1,0,1,4,39,13,1,1,0.5213333
1,0,0,2,31,8,1,4,0.5633333
1,0,0,4,33,13,1,1,0.511
1,0,0,2,41,7,3,3,0.5253333
0,1,1,2,33,8,1,4,0.511
1,0,1,4,15,16,2,4,0.5863333
0,0,1,2,22,6,1,2,0.478
0,0,1,2,39,6,1,2,0.5213333
0,0,0,2,22,7,1,3,0.478
1,0,1,3,7,12,1,4,0.564
0,0,0,3,33,12,1,4,0.511
1,0,0,3,22,12,1,4,0.478
0,0,1,4,10,13,3,1,0.5696666
0,0,0,2,31,8,1,4,0.5633333
1,0,0,4,19,13,3,1,0.538
1,0,1,3,22,10,1,2,0.478
0,0,0,2,33,8,1,4,0.511
0,1,0,2,43,7,3,3,0.5063334
0,0,0,3,14,10,2,2,0.5336667
1,0,1,3,1,10,3,2,0.5173333
1,1,0,1,14,1,2,1,0.5336667
0,0,0,3,16,10,2,2,0.5226667
1,0,1,1,10,1,3,1,0.5696666
0,0,0,2,21,8,1,4,0.494
0,0,1,1,33,4,1,4,0.511
1,0,0,2,25,8,3,4,0.5403333
1,0,0,3,39,10,1,2,0.5213333
0,0,1,3,36,10,2,2,0.5493333
1,0,0,1,49,4,1,4,0.4836667
1,1,1,3,1,9,3,1,0.5173333
1,0,1,1,34,2,3,2,0.525
1,0,0,1,36,3,2,3,0.5493333
0,0,1,2,47,8,3,4,0.567
1,0,0,2,34,7,3,3,0.525
1,0,1,2,23,7,2,3,0.5546667
0,0,0,3,10,12,3,4,0.5696666
1,0,1,2,24,6,2,2,0.4713334
1,0,0,2,19,7,3,3,0.538
0,0,1,1,43,2,3,2,0.5063334
0,0,0,4,23,13,2,1,0.5546667
0,0,0,4,50,13,2,1,0.521
1,0,0,2,4,7,3,3,0.4883333
1,0,0,2,34,7,3,3,0.525
1,0,1,2,14,8,2,4,0.5336667
1,0,1,1,14,4,2,4,0.5336667
1,0,0,3,15,12,2,4,0.5863333
1,0,1,2,50,6,2,2,0.521
1,0,1,4,25,14,3,2,0.5403333
