year,incumbent,state,total,dem,rep
1976,R,AK,123574,44058,71555
1976,R,AL,1182850,659170,504070
1976,R,AR,769396,499614,268753
1976,R,AZ,742719,295602,418642
1976,R,CA,7867117,3742284,3882244
1976,R,CO,1081135,460353,584367
1976,R,CT,1381526,647895,719261
1976,R,DC,168830,137818,27873
1976,R,DE,235834,122596,109831
1976,R,FL,3150631,1636000,1469531
1976,R,GA,1467458,979409,483743
1976,R,HI,291301,147375,140003
1976,R,IA,1279306,619931,632863
1976,R,ID,340932,126549,204151
1976,R,IL,4718833,2271295,2364269
1976,R,IN,2220362,1014714,1183958
1976,R,KS,957845,430421,502752
1976,R,KY,1167142,615717,531852
1976,R,LA,1278439,661365,587446
1976,R,MA,2547557,1429475,1030276
1976,R,MD,1432273,759612,672661
1976,R,ME,483208,232279,236320
1976,R,MI,3653749,1696714,1893742
1976,R,MN,1949931,1070440,819395
1976,R,MO,1953600,998387,927443
1976,R,MS,769360,381309,366846
1976,R,MT,328734,149259,173703
1976,R,NC,1677906,927365,741960
1976,R,ND,297094,136078,153470
1976,R,NE,607668,233692,359705
1976,R,NH,339618,147635,185935
1976,R,NJ,3014472,1444653,1509688
1976,R,NM,416590,201148,211419
1976,R,NV,201876,92479,101273
1976,R,NY,6525225,3389558,3100791
1976,R,OH,4111873,2011621,2000505
1976,R,OK,1092251,532442,545708
1976,R,OR,1029876,490407,492120
1976,R,PA,4620787,2328677,2205604
1976,R,RI,411170,227636,181249
1976,R,SC,802594,450825,346140
1976,R,SD,300678,147068,151505
1976,R,TN,1476346,825879,633969
1976,R,TX,4071884,2082319,1953300
1976,R,UT,541198,182110,337908
1976,R,VA,1697094,813896,836554
1976,R,VT,187855,81044,102085
1976,R,WA,1555534,717323,777732
1976,R,WI,2101336,1040232,1004987
1976,R,WV,750674,435914,314760
1976,R,WY,156343,62239,92717
1980,D,AK,158445,41842,86112
1980,D,AL,1341929,636730,654192
1980,D,AR,837582,398041,403164
1980,D,AZ,873945,246843,529688
1980,D,CA,8587063,3083661,4524858
1980,D,CO,1184415,367973,652264
1980,D,CT,1406285,541732,677210
1980,D,DC,173889,130231,23313
1980,D,DE,235668,105754,111252
1980,D,FL,3687026,1419475,2046951
1980,D,GA,1597467,890733,654168
1980,D,HI,303287,135879,130112
1980,D,IA,1317661,508672,676026
1980,D,ID,437431,110192,290699
1980,D,IL,4749721,1981413,2358049
1980,D,IN,2242033,844197,1255656
1980,D,KS,979795,326150,566812
1980,D,KY,1294627,616417,635274
1980,D,LA,1548591,708453,792853
1980,D,MA,2524298,1053802,1057631
1980,D,MD,1540496,726161,680606
1980,D,ME,523011,220974,238522
1980,D,MI,3909725,1661532,1915225
1980,D,MN,2051953,954174,873241
1980,D,MO,2099824,931182,1074181
1980,D,MS,892620,429281,441089
1980,D,MT,363952,118032,206814
1980,D,NC,1855833,875635,915018
1980,D,ND,301545,79189,193695
1980,D,NE,640854,166851,419937
1980,D,NH,383999,108864,221705
1980,D,NJ,2975684,1147364,1546557
1980,D,NM,456237,167826,250779
1980,D,NV,247885,66666,155017
1980,D,NY,6201959,2728372,2893831
1980,D,OH,4283603,1752414,2206545
1980,D,OK,1149708,402026,695570
1980,D,OR,1181516,456890,571044
1980,D,PA,4561501,1937540,2261872
1980,D,RI,416072,198342,154793
1980,D,SC,890083,427560,441207
1980,D,SD,327703,103855,198343
1980,D,TN,1617616,783051,787761
1980,D,TX,4541637,1881147,2510705
1980,D,UT,604222,124266,439687
1980,D,VA,1866032,752174,989609
1980,D,VT,213207,81891,94598
1980,D,WA,1742394,650193,865244
1980,D,WI,2273221,981584,1088845
1980,D,WV,737715,367462,334206
1980,D,WY,176713,49427,110700
1984,R,AK,207605,62007,138377
1984,R,AL,1441713,551899,872849
1984,R,AR,884406,338646,534774
1984,R,AZ,1025897,333854,681416
1984,R,CA,9505423,3922519,5467009
1984,R,CO,1295381,454974,821818
1984,R,CT,1466900,569597,890877
1984,R,DC,211288,180408,29009
1984,R,DE,254572,101656,152190
1984,R,FL,4180051,1448816,2730350
1984,R,GA,1776093,706628,1068722
1984,R,HI,335846,147154,185050
1984,R,IA,1319805,605620,703088
1984,R,ID,411144,108510,297523
1984,R,IL,4819088,2086499,2707103
1984,R,IN,2233069,841481,1377230
1984,R,KS,1021991,333149,677296
1984,R,KY,1370461,539589,822782
1984,R,LA,1706822,651586,1037299
1984,R,MA,2559453,1239606,1310936
1984,R,MD,1675873,787935,879918
1984,R,ME,553144,214515,336500
1984,R,MI,3801658,1529638,2251571
1984,R,MN,2084449,1036364,1032603
1984,R,MO,2122771,848583,1274188
1984,R,MS,940192,352192,581477
1984,R,MT,384377,146742,232450
1984,R,NC,2175361,824287,1346481
