radon,x,y,county,u
2.2,1,0.78845736,1,-0.689047595
2.2,0,0.78845736,1,-0.689047595
2.9,0,1.06471074,1,-0.689047595
1.0,0,0.0,1,-0.689047595
3.1,0,1.13140211,2,-0.84731286
2.5,0,0.91629073,2,-0.84731286
1.5,0,0.40546511,2,-0.84731286
1.0,0,0.0,2,-0.84731286
0.7,0,-0.35667494,2,-0.84731286
1.2,0,0.18232156,2,-0.84731286
1.2,0,0.18232156,2,-0.84731286
1.3,0,0.26236426,2,-0.84731286
1.4,0,0.33647224,2,-0.84731286
0.4,0,-0.91629073,2,-0.84731286
1.1,0,0.09531018,2,-0.84731286
4.5,0,1.5040774,2,-0.84731286
1.3,0,0.26236426,2,-0.84731286
2.1,0,0.74193734,2,-0.84731286
5.9,0,1.77495235,2,-0.84731286
3.3,0,1.19392247,2,-0.84731286
1.8,0,0.58778666,2,-0.84731286
5.4,0,1.68639895,2,-0.84731286
6.3,0,1.84054963,2,-0.84731286
1.9,0,0.64185389,2,-0.84731286
6.6,0,1.88706965,2,-0.84731286
3.1,0,1.13140211,2,-0.84731286
6.8,0,1.91692261,2,-0.84731286
7.0,0,1.94591015,2,-0.84731286
7.7,0,2.04122033,2,-0.84731286
5.2,0,1.64865863,2,-0.84731286
4.5,0,1.5040774,2,-0.84731286
4.4,0,1.48160454,2,-0.84731286
2.8,0,1.02961942,2,-0.84731286
8.1,0,2.09186406,2,-0.84731286
1.6,0,0.47000363,2,-0.84731286
4.2,0,1.43508453,2,-0.84731286
5.4,0,1.68639895,2,-0.84731286
4.0,0,1.38629436,2,-0.84731286
2.3,0,0.83290912,2,-0.84731286
2.9,0,1.06471074,2,-0.84731286
1.4,0,0.33647224,2,-0.84731286
3.3,0,1.19392247,2,-0.84731286
2.9,0,1.06471074,2,-0.84731286
1.8,1,0.58778666,2,-0.84731286
0.2,1,-1.60943791,2,-0.84731286
2.4,0,0.87546874,2,-0.84731286
1.1,1,0.09531018,2,-0.84731286
2.2,0,0.78845736,2,-0.84731286
0.6,0,-0.51082562,2,-0.84731286
1.7,0,0.53062825,2,-0.84731286
2.9,0,1.06471074,2,-0.84731286
2.2,0,0.78845736,2,-0.84731286
1.7,0,0.53062825,2,-0.84731286
1.4,0,0.33647224,2,-0.84731286
1.9,0,0.64185389,2,-0.84731286
1.8,0,0.58778666,2,-0.84731286
1.2,1,0.18232156,3,-0.113458774
4.3,0,1.45861502,3,-0.113458774
4.5,1,1.5040774,3,-0.113458774
6.3,0,1.84054963,4,-0.593352526
4.6,0,1.5260563,4,-0.593352526
5.7,0,1.74046617,4,-0.593352526
2.2,1,0.78845736,4,-0.593352526
0.4,1,-0.91629073,4,-0.593352526
4.6,1,1.5260563,4,-0.593352526
4.4,1,1.48160454,4,-0.593352526
6.6,0,1.88706965,5,-0.142890481
2.7,0,0.99325177,5,-0.142890481
2.9,1,1.06471074,5,-0.142890481
2.9,0,1.06471074,5,-0.142890481
